Manufacturer,Name,Code,Date,Dry Weight kg,Fuselage length m,Fuselage width m,Fuselage heigh m,Rotor loading kg/m2,Rotor Count,Blade Count,Rotor Diameter m,Rotor Area m2,Rear Diameter,MTOW kg,Range km,Max Altitude m,Vmax km/h,Vcruise km/h,Crew,Passengers,Freight Length m,Freight Width m,Freigth Height m,Load kg,Flight time h,Fuel l,Engine type,Engine Count,Power kW,total Power kW,Shafts,Turbine diameter m,Turbine length m,Turbine weight kg,LP Comp,HP Comp,Camber type,Power kN,Bypass,Turbine Temp K,Pressure Ratio,LP Turbine,HP Turbine,SFC g/kNs,SFC g/kWh,PTW kW/kg,Konfiguration,Zylinders,Rows,Displacement ccm,Travel mm,Bore mm
Aerospatiale,AS332,Cougar,1978,4510,16.29,,4.6,48.92,1,4,15.6,191.134497,,9350,841,2895,278,262,2,29,,,,4140,3.2,,TM 1A1,2,1236,2472,1,0.498,2.117,247,,,Annular,,,,,2,2,,,,,,,,,
Aerospatiale,SA321,Super Frelon,1962,6863,19.4,2.24,6.76,46.34,1,6,18.9,280.55,4,13000,620,3100,275,240,2,37,9.67,1.96,1.8,3954.5,2.6,5975,,3,1140,3420,1,0.693,1.976,300,1,1,Annular,,,,,,,,,,,,,,,
Agusta,A101,,1964,6850,20.19,4.64,6.56,39.47,1,4,20.4,326.8512997,,12900,378,2950,217,201,2,36,,,,5000,1.9,2000,de Havilland H.1400,3,1000,3000,2,0.549,1.392,148,10,1,Annular,,,,8.4,2,1,,,8.3,,,,,,
Boeing-Vertol,CH-47,Chinook,1961,11550,15.84,3.78,5.77,43.22,2,3,18.28,524.8947873,,22688,370,6090,302,291,3,55,,,,10866,1.3,,AS T55-714A,2,3729,7458,2,0.6159,1.196,377,7,1,Reverse Flow,,,1090,9.32,,,,,,,,,,,
Bristol,B192,Belverde,1958,5234,16.6,,5.18,28.36,2,4,14.9,304,,8620,740,3700,222,222,3,19,,,,1900,3.3,,Napier Gazelle,2,1092,2184,2,0.851,1.778,376.5,11,,6 Cann,,,,6.25,2,1,,418,2.397,,,,,,
Fairey,XE521,Rotodyne,1957,9979,17.88,,6.76,25.33,1,4,27.43,591,,14969,720,4000,307,298,2,48,,,,4800,2.4,3402,Napier Eland 7,2,2100,4200,1,0.91,3,787,10,,6 Can ,,,,7,3,,,,3.3,,,,,,
Jakowlew,Jak-24,Horse,1952,10607,21.34,,6.5,22.71,2,5,20,628.3185307,,14270,266,4200,195,180,4,30,10,2,2,3000,1.5,,Asch-82W,2,1250,2500,,1.3,2.01,1020,,,,,,,6.9,,,,,,Star,14,2,41200,155,155.5
Kamow,Ka-31,Helix-C,1973,6920,11.22,,5.45,31.98,2,3,15.9,397.1130194,,12700,850,6000,250,230,3,16,,,,8700,3.7,,Klimow TW3-117W,2,1618,3236,2,0.66,2.055,295,12,,,,,,,2,2,,299,,,,,,,
Kamow,Ka-22,Hoop,1959,28200,27,,,53.45,2,4,20,795.2,,42500,450,5500,375,300,2,100,,,,10000,1.5,,Soloviev D-25VK,2,4045,8090,2,0.508,2.737,1200,9,,12 Can,,,1103,5.6,1,2,,1080,3.42,,,,,,
Kamow,Ka-27,Helix ,1974,7500,11.3,,5.4,31.73,2,3,15.9,397.1130194,,12600,800,5000,250,220,3,16,,,,5000,3.6,,Klimow TW3-117W,2,1660,3320,2,0.66,2.055,295,12,1,,,,,,2,2,,299,,,,,,,
Michail Leontjewitsch,Mil Mi-26,Halo,1977,28600,33,,11.6,69.63,1,8,32,804.25,,56000,800,5000,295,265,5,82,12.1,3.29,3.17,20000,3.0,12000,PD-12W,2,8582.089552,17164.1791,2,1.9,,2970,3,8,Annular,137.3,8.5,2000,,,,33,,4.88,,,,,,
Michail Leontjewitsch,Mil Mi-10,Harke,1964,27300,35,,7.8,45.42,1,5,35,962.11,,43700,430,3000,250,170,3,28,19.95,1.66,2.75,11000,2.5,,Solowjow D-25,2,4781,9562,2,1.158,1.086,1200,,,,,,1105,,,,,394,,,,,,,
Michail Leontjewitsch,Mil Mi-6,Hook,1957,27240,33.18,,9.86,44.20,1,5,35,961.63,6.3,42500,1050,4500,300,250,5,65,12,2.6,2.5,12000,5.0,,Soloviev D-25,2,4781,9562,2,1.158,1.086,1200,,,,,,1105,,,,,394,,,,,,,
Michail Leontjewitsch,Mil Mi-12,Homer,1969,69100,37,,12.5,54.57,2,6,35,1924.2255,,105000,1000,3500,260,220,10,196,28.15,4.4,4.4,40000,4.5,,Soloviev D-25WF,4,4800,19200,2,1.158,1.086,1200,,,,,,1105,,,,,394,,,,,,,
Michail Leontjewitsch,Mil Mi-8,Hip,1961,8275,18.37,,6.88,37.13,1,5,21.91,377.0288961,3.91,14000,800,4000,230,200,4,,6.36,2.05,1.7,3000,4.0,,Kilimow TW2-117,2,1192,2384,,0.55,2.843,334,,,,,,,,,,,421,,,,,,,
Piasecki,H-16,,1953,10200,23.7,,7.6,15.48,2,3,25,981.7477042,,15200,2300,6980,235,200,3,40,,,,4700,11.5,,Allison T56-A-5,2,1600,3200,1,0.69,3.71,880,14,,6 Can,,,1133,,4,,,255.5,4.52,,,,,,
Sikorsky,CH-53K,King Stallion,2015,15071,30.2,,8.46,84.88,1,7,24,452.3893421,,38400,752,4380,370,315,5,55,,,,15071,2.4,,GE GE38-1B,3,5600,16800,2,0.69,1.46,600,5,1,Annular,,5.3,,,3,2,,,,,,,,,
Sikorsky,S-64,Skycrane,1962,8724,21.41,,5.66,50.40,1,6,21.95,378,,19051,370,3200,213,213,3,5,,,,9100,1.7,,P&W T73-P-700,2,3355,6710,2,0.762,2.718,438,9,1,8 Cann,,,963,,2,2,,,7.66,,,,,,
Sikorsky,S-92,Superhawk,1998,7257,20.9,5.26,4.7,54.27,1,4,17.17,231.54,,12565,998,4300,306,280,2,19,6,,2,4535,3.6,,GE CT7-8A,2,1879,3758,,9.66,1.293,243,5,1,Annular,,,,17,2,2,,283,7.37,,,,,,
Sikorsky,CH-37,Mojave,1953,9450,19.57,,6.71,37.00,1,4,21.95,378.4067986,,14000,235,2652,209,200,3,36,,,,5000,1.2,,P&W R-2800-54,2,1545,3090,,1.334,2.247,1124,,,,,,,7.8,,,,,,Star,18,2,45900,152.4,146
Sikorsky,CH-54,Tarhe,1962,8981,21.41,,5.67,56.36,1,6,21.95,378.25,,21319,370,11000,240,190,3,,,,,11340,1.9,,P&W T73-P-700,2,3600,7200,2,0.762,2.718,438,9,1,8 Can ,,,961,,2,2,,,7.66,,,,,,
